platform,appid,app_name,monetization_model,recommendation_id,language,review_text,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,steam_purchase,received_for_free,written_during_early_access,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever_m,author_playtime_last_two_weeks_m,author_playtime_at_review_m,author_last_played,monetization_flag
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203599700,english,à?€à¸Åà¸¡à¸”à¸µ à¸ªà¸±à¸‡à¸„à¸¡à¸”à¸µà?€à¸Ÿà¸£à¸™à¸¥à¸µà?ˆ à¸£à¸°à¸?à¸?à?€à¸Åà¸¡à¸”à¸µà¸¡à¸?à¸Åà?† à?€à¸¥à?ˆà¸™à?Åà¸¥à?‰à¸§à¸ªà¸™à¸¸à¸Åà¸ªà¸¸à¸”à?†à?„à¸›à?€à¸¥à¸¢ à?Åà¸™à¸°à¸™à¸?à?ƒà¸«à?‰à¸œà¸?à?‰à?€à¸¥à?ˆà¸™à?ƒà¸«à¸¡à?ˆà?€à¸‚à?‰à¸?à¸¡à¸?à?€à¸¥à?ˆà¸™à¸Åà¸±à¸™à?€à¸¢à¸?à¸°à?†,2025-09-05T12:44:37+00:00,2025-09-05T12:44:37+00:00,TRUE,1,0,0.525862038135528564,FALSE,FALSE,FALSE,76561198127528328,78,6,120073,3301,119901,1757092270,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203599664,english,very fun game to play. (WAKE UP.),2025-09-05T12:44:06+00:00,2025-09-05T12:44:06+00:00,FALSE,1,0,0.525862038135528564,FALSE,FALSE,FALSE,76561198176503229,56,1,192196,3241,192017,1757092265,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203599473,english,nice,2025-09-05T12:41:16+00:00,2025-09-05T12:41:16+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199284115136,0,2,1559,599,1468,1757081547,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203599279,english,super fun game :D,2025-09-05T12:38:42+00:00,2025-09-05T12:38:42+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561199649549732,0,1,103620,3318,103500,1757083215,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203598868,english,1k hour 2k mmr fuckedup,2025-09-05T12:32:23+00:00,2025-09-05T12:32:23+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561199580263271,0,2,60639,2806,60275,1757097426,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203598323,english,?Ÿ???»???µ??Ñˆ?°Ñè Ñ…Ñƒ????Ñè,2025-09-05T12:24:43+00:00,2025-09-05T12:24:43+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561199187468543,56,4,105434,3035,105434,1757075034,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203594772,english,??Ñƒ Ñ…Ñƒ????Ñè ?¿???»???°Ñè,2025-09-05T11:29:02+00:00,2025-09-05T11:29:02+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561199520662441,12,2,20001,1660,19722,1757098804,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203594533,english,just delete it,2025-09-05T11:25:00+00:00,2025-09-05T11:25:00+00:00,FALSE,1,0,0.509823501110076904,FALSE,FALSE,FALSE,76561199604425808,8,5,24359,289,24359,1756727704,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203593004,english,good game,2025-09-05T10:58:54+00:00,2025-09-05T10:58:54+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198977433969,0,1,6819,5364,6487,1757100613,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203591276,english,cool,2025-09-05T10:27:45+00:00,2025-09-05T10:27:45+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198200869322,13,2,111754,130,111714,1757070668,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203590185,english,dont play this game find a job and live happy,2025-09-05T10:07:28+00:00,2025-09-05T10:07:28+00:00,FALSE,1,0,0.509823501110076904,FALSE,FALSE,FALSE,76561199657829663,2,1,318,318,258,1757084768,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203589815,english,"has an complex and overtly ""anti-fun"" system that if it detects you having too much fun.",2025-09-05T09:59:50+00:00,2025-09-05T09:59:50+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198097116203,0,109,215,195,215,1757060802,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203589812,english,"this game its not free, you will pay with your soul",2025-09-05T09:59:47+00:00,2025-09-05T09:59:47+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198385043613,26,1,51297,0,51297,1673814560,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203589633,english,gg,2025-09-05T09:56:26+00:00,2025-09-05T09:56:26+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198268058192,9,1,150876,2594,150405,1757101572,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203589096,english,dagdag stress,2025-09-05T09:45:16+00:00,2025-09-05T09:45:16+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198126518080,0,3,139359,1567,139194,1757085449,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203588269,english,"i like this game because it relieves stress and also about the heroes and items its nice cause you can modify them, dota2 is so much fun. and also for the qurteros event i hope i can get the pudge arcana cause i really love his arcana so please i hope for the 60 quartero the rewards is arcana hahaha. thanks dota2!",2025-09-05T09:29:30+00:00,2025-09-05T09:29:30+00:00,TRUE,0,0,0.490081667900085449,FALSE,FALSE,FALSE,76561199405030187,0,1,62769,3178,62641,1757089290,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203584530,english,00,2025-09-05T08:16:02+00:00,2025-09-05T08:16:02+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198235399212,140,35,6,0,6,1739947885,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203584284,english,Lakad Matatag,2025-09-05T08:11:13+00:00,2025-09-05T08:11:13+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198367104385,0,1,43320,0,43320,1624187183,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203584241,english,yes,2025-09-05T08:10:17+00:00,2025-09-05T08:10:17+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198831746262,0,1,235095,2565,234605,1757096983,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203583824,english,"10,000 hours commemorate",2025-09-05T08:02:38+00:00,2025-09-05T08:02:38+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199144736711,55,3,600733,20127,600007,1757101497,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203583313,english,ok,2025-09-05T07:52:39+00:00,2025-09-05T07:52:39+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198865027156,0,5,415,45,369,1757063289,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203582764,english,worse than working retails.,2025-09-05T07:41:16+00:00,2025-09-05T07:41:16+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198167705471,97,5,295261,564,295158,1757090624,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203577517,english,Ñ…Ñƒ????Ñè,2025-09-05T06:00:31+00:00,2025-09-05T06:00:31+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199226311630,0,1,11406,3393,11100,1757100738,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203576818,english,Childhood game,2025-09-05T05:47:16+00:00,2025-09-05T05:47:16+00:00,TRUE,1,0,0.523809552192687988,FALSE,FALSE,FALSE,76561199801835618,0,1,26283,2249,26217,1757054324,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203576574,english,"Dota 2. This game is like a female. It starts off great, however before you know it you have wasted your life on something that does not care about you. Please God before you play this game, make sure you do not have a family, animals, or life goals. From the bottom of my heart, only download this game if you hate yourself. Pretty fun to play though ngl.",2025-09-05T05:42:39+00:00,2025-09-05T05:42:39+00:00,FALSE,0,0,0.468521237373352051,FALSE,TRUE,FALSE,76561198305389982,30,1,460601,2380,460202,1757074597,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203574215,english,"A masterpiece with critical thinking, strategic teamwork, and complicated mechanics, all in one game.",2025-09-05T05:01:26+00:00,2025-09-05T05:01:26+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199402714222,0,1,40522,977,40323,1757086526,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203572793,english,this the great game all year,2025-09-05T04:37:52+00:00,2025-09-05T04:37:52+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198147143171,0,2,670146,580,669701,1757100926,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203572510,english,5,2025-09-05T04:33:27+00:00,2025-09-05T04:33:27+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198359317533,0,1,95871,1132,95862,1757077986,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203571152,english,ok so this is crack but for gamers thats it,2025-09-05T04:11:53+00:00,2025-09-05T04:11:53+00:00,TRUE,0,0,0.5,FALSE,TRUE,FALSE,76561198063847382,0,2,332451,2514,332057,1757074442,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203570728,english,DISGUSTINGLY ADDICTING,2025-09-05T04:05:15+00:00,2025-09-05T04:05:15+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198019549203,0,7,44858,1575,44537,1757082687,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203567367,english,w,2025-09-05T03:16:27+00:00,2025-09-05T03:16:27+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198452714154,0,2,111892,31,111865,1757051492,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203567300,english,"i don't recommend this fcking game for you, if you have mental issues or didn't have passion enough. to many people talk shit about your mother. please save your mental health, don't try to play with the devil",2025-09-05T03:15:25+00:00,2025-09-05T03:15:25+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198442699274,0,1,136869,2746,136637,1757058346,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203566742,english,nice,2025-09-05T03:07:02+00:00,2025-09-05T03:07:02+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198194672329,0,2,159479,1693,159321,1757082965,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203566328,english,very good,2025-09-05T03:01:05+00:00,2025-09-05T03:01:05+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199803816156,0,7,1408,74,1333,1757045703,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203565298,english,ok,2025-09-05T02:46:40+00:00,2025-09-05T02:46:40+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198417961124,0,1,256716,442,256580,1757060053,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203564971,english,peak game ever,2025-09-05T02:41:57+00:00,2025-09-05T02:41:57+00:00,TRUE,1,0,0.523809552192687988,FALSE,FALSE,FALSE,76561198217087297,0,35,296,0,296,1466641380,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203562912,english,this game have verty taxic player,2025-09-05T02:14:40+00:00,2025-09-05T02:14:40+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199584958446,0,2,78142,1352,77858,1757094510,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203562852,english,trash game filled with smurf and cheaters just like cs2 steam cant manage a game properly,2025-09-05T02:13:57+00:00,2025-09-05T02:13:57+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198857420730,0,1,161918,4445,161876,1757093704,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203554832,english,yeah maka addict,2025-09-05T00:25:58+00:00,2025-09-05T00:25:58+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199033324253,17,2,25754,177,25682,1757042551,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203553709,english,trash,2025-09-05T00:11:04+00:00,2025-09-05T00:11:04+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198154184811,0,2,299461,5213,299065,1757100622,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203553144,english,super toxic game,2025-09-05T00:03:25+00:00,2025-09-05T00:03:25+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561199436408283,0,1,73198,2201,73198,1757030467,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203551434,english,A good game to ruin your day!,2025-09-04T23:39:12+00:00,2025-09-04T23:39:12+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199161419914,8,1,189178,3864,188627,1757101248,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203550468,english,my friends held me at gunpoint and forced me to play this game.,2025-09-04T23:26:26+00:00,2025-09-04T23:26:26+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198025235954,0,31,2985,0,2985,1598944435,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203550133,english,ggwp,2025-09-04T23:22:21+00:00,2025-09-04T23:22:21+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198263926070,0,1,615127,1295,615047,1757032967,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203545716,english,Goal is to destroy enemy team ancient before your team starts talking about your mom,2025-09-04T22:24:52+00:00,2025-09-04T22:24:52+00:00,TRUE,1,0,0.523809552192687988,FALSE,FALSE,FALSE,76561198108363465,0,3,300070,1760,300002,1757071246,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203544097,english,i dont even know why its not the year of the game every year,2025-09-04T22:05:47+00:00,2025-09-04T22:05:47+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198037638912,0,7,302126,1194,301857,1757079072,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203544060,english,shit,2025-09-04T22:05:29+00:00,2025-09-04T22:05:29+00:00,FALSE,0,0,0.5,FALSE,FALSE,FALSE,76561198102298767,3,1,438550,3221,438523,1757025048,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203543968,english,Techies are my best friends. It goes kaboom all the time and we get zapped a lot!,2025-09-04T22:04:33+00:00,2025-09-04T22:04:33+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561197998570684,0,2,8817,1825,8620,1757035695,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203543952,english,"error too much and not balance, game broken",2025-09-04T22:04:23+00:00,2025-09-04T22:04:23+00:00,FALSE,1,0,0.504950463771820068,FALSE,FALSE,FALSE,76561198311766632,5,1,113176,3208,112956,1757036691,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203543826,english,"Destroys your life, please don't download",2025-09-04T22:03:02+00:00,2025-09-04T22:03:02+00:00,FALSE,1,0,0.504950463771820068,FALSE,FALSE,FALSE,76561198023600316,0,4,346698,1468,346662,1757078489,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203543824,english,best online game,2025-09-04T22:03:01+00:00,2025-09-04T22:03:01+00:00,TRUE,0,0,0.495049476623535156,FALSE,FALSE,FALSE,76561199824490636,0,1,6156,2741,6035,1757030558,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203543597,english,Good game,2025-09-04T22:00:33+00:00,2025-09-04T22:00:33+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198173297929,4,1,423857,331,423754,1757030786,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203543206,english,"modern chess, timeless game",2025-09-04T21:55:45+00:00,2025-09-04T21:55:45+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198134120413,78,3,78628,992,78573,1757038537,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203542235,english,Ñè ?? ?°Ñ…Ñƒ?µ,2025-09-04T21:44:22+00:00,2025-09-04T21:44:22+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561199749922472,1,1,6050,1828,6011,1757024630,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203534209,english,Please describe what you liked or disliked about this product.,2025-09-04T20:19:40+00:00,2025-09-04T20:19:40+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198148032328,123,38,69478,1719,69478,1757017133,FALSE
steam,570,Dota 2,"cosmetics, battle pass, event monetization",203532934,english,Amazing,2025-09-04T20:07:40+00:00,2025-09-04T20:07:40+00:00,TRUE,0,0,0.5,FALSE,FALSE,FALSE,76561198120521073,0,3,23418,198,23278,1757101619,FALSE
